Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
556,4.341360819912033,0.5919022114124379,0.06036238380157702,0.66,1,1.0,3.45,-0.8994,34.70363398971,57.12818480638
559,4.341360819912033,0.5919022114124379,0.06036238380157702,0.59,1,1.0,5.05,0.4449,34.90240826968,57.04803752134
560,4.451360819912036,0.5483093802850167,0.06036238380157702,0.52,1,1.0,0.631,0.6817,34.8875407193,57.11336777201
561,4.741360819912035,0.43338282549454554,0.06036238380157702,0.44,1,1.0,11.4,0.5435,34.99265189009,57.12291435774
565,4.591360819912033,0.49282759521375574,0.06036238380157702,0.46,1,1.0,0.686,,0.0,0.0
568,4.091360819912035,0.6909768276111197,0.06036238380157702,0.55,2,1.0,0.32,,0.0,0.0
569,4.831360819912035,0.3977159636630201,0.06036238380157702,0.4,1,1.0,1.37,,0.0,0.0
570,4.631360819912036,0.4769756566219656,0.06036238380157702,0.49,1,1.0,6.58,,0.0,0.0
571,4.4013608199120355,0.5681243035247534,0.06036238380157702,0.61,1,1.0,6.04,,0.0,0.0
572,5.061360819912036,0.3065673167602321,0.06036238380157702,0.38,1,1.0,2.25,,0.0,0.0
573,4.881360819912036,0.3779010404232832,0.06036238380157702,0.39,1,1.0,1.61,,0.0,0.0
574,4.561360819912036,0.5047165491575967,0.06036238380157702,0.53,1,1.0,3.26,,0.0,0.0
575,3.881360819912034,0.7741995052180131,0.06036238380157702,0.87,1,1.0,5.18,,0.0,0.0
576,3.5713608199120355,0.8970520293043784,0.06036238380157702,0.84,2,1.0,0.369,,0.0,0.0
577,4.641360819912034,0.4730126719740191,0.06036238380157702,0.48,1,1.0,3.31,,0.0,0.0
579,4.881360819912036,0.3779010404232832,0.06036238380157702,0.36,1,1.0,0.252,,0.0,0.0
