Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
1566,5.5156766616663955,0.9238347778357016,0.04209712602898778,0.944,1,1,,7.2479,57.58720760547,24.46654508807
1567,5.769097661666397,0.8920703894123706,0.04209712602898778,0.9,1,1,5.3657,7.5059,57.58886377465,23.0961448079
1568,5.734856661666395,0.8963622374597041,0.04209712602898778,0.909,1,1,,7.9446,57.58889306963,27.1441686951
1570,10.812157661666397,0.2599613034164858,0.04209712602898778,0.269,1,1,,7.1599,57.59190695451,22.62549947942
1571,8.316613661666397,0.5727586996208764,0.04209712602898778,0.586,1,1,1.8957,7.2824,57.59554260677,22.18813114836
1573,8.596300661666396,0.5377020685407523,0.04209712602898778,0.554,1,1,17.597,6.4186,57.60401353601,20.70484570738
1574,11.314001661666396,0.1970589877286857,0.04209712602898778,0.207,1,1,0.6601,6.8386,57.60485631104,23.92810758937
1576,11.142278661666396,0.2185831553123494,0.04209712602898778,0.228,1,1,0.9801,7.229,57.61403231496,23.37901255936
1577,11.569467661666398,0.16503827416132255,0.04209712602898778,0.188,1,1,0.5589,7.2494,57.61603139023,23.06512486371
1578,10.634386661666397,0.2822435416461666,0.04209712602898778,0.29,1,1,,6.8146,57.61844044452,20.31681546763
1580,9.998513661666395,0.36194536967110835,0.04209712602898778,0.381,1,1,,6.9368,57.62492811642,25.05172731021
1581,10.581633661666396,0.2888557276232404,0.04209712602898778,0.296,1,1,1.0933,6.9468,57.63319179846,22.14637822451
1582,11.001297661666396,0.23625404779683024,0.04209712602898778,0.245,1,1,,7.6242,57.6379095793,24.33920630856
1584,6.8873546616663965,0.7519054081949152,0.04209712602898778,0.741,1,1,,7.2173,57.64417563888,24.50757202134
1585,6.330646661666396,0.8216845076001568,0.04209712602898778,0.814,1,1,0.3144,7.2922,57.6489355092,25.42630877065
1587,10.923870661666395,0.24595893137969527,0.04209712602898778,0.255,1,1,1.7941,7.1278,57.65595238915,22.46874764683
1588,9.992802661666396,0.3626611999388669,0.04209712602898778,0.382,1,1,0.8891,7.3013,57.66222912452,23.21722758953
1590,11.177542661666397,0.21416308202181544,0.04209712602898778,0.224,1,1,,7.4261,57.66551653057,26.57215264766
1591,11.557415661666397,0.16654890038913317,0.04209712602898778,0.189,1,1,,7.6231,57.66550070189,26.57149439135
1601,7.148947661666396,0.7191167219344066,0.04209712602898778,0.713,1,1,,7.3299,57.69189073172,22.93047700918
1602,9.574302661666396,0.4151169812480875,0.04209712602898778,0.437,1,1,,7.3862,57.70410557715,22.66984055724
1604,11.124559661666396,0.22080409674369483,0.04209712602898778,0.231,1,1,,5.873,57.71234435994,23.97878248694
1605,6.794960661666396,0.7634862910104091,0.04209712602898778,0.751,1,1,8.4496,7.3338,57.71444143461,23.32886877947
1609,6.965117661666396,0.7421584095761605,0.04209712602898778,0.731,1,1,,7.2656,57.72446938728,22.54786534592
1611,11.279976661666396,0.2013237618243755,0.04209712602898778,0.211,1,1,,7.4746,57.72778472774,24.36532670246
1612,11.555889661666395,0.16674017284379983,0.04209712602898778,0.189,1,1,,6.9689,57.72916554734,24.55084531392
1613,6.026064661666396,0.8598615369495595,0.04209712602898778,0.86,1,1,,7.1569,57.7296108752,24.1972465653
1614,10.062388661666397,0.35393912586913334,0.04209712602898778,0.372,1,1,2.0791,7.4398,57.73598403343,25.58491725369
1616,10.039757661666396,0.3567757490156305,0.04209712602898778,0.376,1,1,,7.2832,57.73930403706,24.10836898081
1617,11.309490661666395,0.19762440715398055,0.04209712602898778,0.207,1,1,0.461,7.2124,57.74244001261,23.9283579453
1619,7.476908661666396,0.6780093133467046,0.04209712602898778,0.677,1,1,5.7885,6.2762,57.75971818178,25.05529120051
1621,10.961147661666395,0.24128654390092863,0.04209712602898778,0.25,1,1,,7.4687,57.7650921351,24.54295656381
1623,8.460080661666396,0.5547762060077583,0.04209712602898778,0.571,1,1,3.4151,7.4345,57.76638978664,22.40454497105
1625,7.9112386616663954,0.6235693623406503,0.04209712602898778,0.631,1,1,,7.2437,57.77331327974,24.73657781007
1628,11.383154661666396,0.18839118690460777,0.04209712602898778,0.199,1,1,0.5784,6.698,57.77967751323,23.34918317805
1629,8.057279661666396,0.6052642374704473,0.04209712602898778,0.615,1,1,,7.0073,57.79406565213,26.58748706099
1630,9.580706661666396,0.41431428871880605,0.04209712602898778,0.436,1,1,,7.6967,57.79812643881,24.38680048679
1632,8.681855661666397,0.5269784021849331,0.04209712602898778,0.544,1,1,4.5971,7.5239,57.80039695024,23.93243025023
1633,10.394450661666395,0.31231768822731176,0.04209712602898778,0.323,1,1,0.5336,7.4946,57.8077996561,25.38630230644
1634,9.127072661666396,0.47117384881062674,0.04209712602898778,0.49,1,1,,9.175,57.81357998178,30.32603097132
1635,8.711216661666397,0.523298224896952,0.04209712602898778,0.54,1,1,0.4479,7.3912,57.81600521946,23.28207232448
1636,10.946838661666398,0.2430800678549394,0.04209712602898778,0.252,1,1,0.4748,7.2879,57.81933478425,21.05953477169
1637,6.690693661666396,0.7765553637697126,0.04209712602898778,0.765,1,1,7.9471,7.332,57.82037107285,23.8263996111
1638,11.652050661666397,0.15468712532533835,0.04209712602898778,0.183,1,1,,7.3115,57.82486427848,26.02265611661
1639,11.500009661666397,0.17374430440785993,0.04209712602898778,0.192,1,1,,7.2742,57.82803686461,26.05415071937
1640,9.688975661666396,0.40074359579988617,0.04209712602898778,0.422,1,1,,7.297,57.82865372341,26.05227743024
1641,9.595424661666396,0.41246949973598857,0.04209712602898778,0.434,1,1,,7.7057,57.82952312548,24.17012515879
1642,10.671594661666397,0.2775798027908418,0.04209712602898778,0.286,1,1,0.9248,7.2822,57.83124732911,23.16358608121
1644,10.252704661666396,0.33008446762386323,0.04209712602898778,0.344,1,1,,8.3535,57.83622132465,19.64372689433
1646,8.213552661666396,0.585676609483504,0.04209712602898778,0.599,1,1,7.5694,7.2076,57.84233121849,25.16592888053
1647,8.267464661666397,0.5789191517010841,0.04209712602898778,0.592,1,1,,7.4306,57.84931304842,22.84127295815
1648,7.324782661666395,0.6970771465305672,0.04209712602898778,0.692,1,1,6.4306,7.2935,57.84954902451,22.11318468184
1649,9.982374661666396,0.36396827015987654,0.04209712602898778,0.384,1,1,4.391,7.2865,57.84963620047,25.09780493761
1650,10.010018661666397,0.36050330571898725,0.04209712602898778,0.38,1,1,,7.5491,57.850752651,26.05300429203
1651,7.3797606616663955,0.6901860737830922,0.04209712602898778,0.687,1,1,,7.474,57.85177827356,24.0871723634
1652,8.065535661666397,0.6042294108742969,0.04209712602898778,0.614,1,1,,7.3708,57.85568054293,23.88917177889
1653,9.576649661666396,0.414822802708702,0.04209712602898778,0.437,1,1,,7.6139,57.85786918508,24.7939525791
1657,7.628637661666396,0.6589912410832238,0.04209712602898778,0.661,1,1,,7.4985,57.87484201908,23.89903557128
1659,11.068962661666397,0.22777275641740724,0.04209712602898778,0.237,1,1,,7.4212,57.89173838719,24.56899130155
1660,11.662382661666395,0.1533920879717261,0.04209712602898778,0.182,1,1,,7.2421,57.89280600087,23.79703272574
1662,6.450656661666397,0.8066421699300981,0.04209712602898778,0.797,1,1,,7.285,57.91274273727,22.75007466973
1664,11.172043661666397,0.21485233970740558,0.04209712602898778,0.224,1,1,,7.3518,57.91303365598,24.59126458527
1665,11.695566661666398,0.14923272680812927,0.04209712602898778,0.18,1,1,,7.5703,57.91338206199,23.85491522238
1666,6.609506661666396,0.7867315346589638,0.04209712602898778,0.775,1,1,,7.4794,57.91375038406,24.54869612564
1667,5.306737661666396,0.9500236870136399,0.04209712602898778,0.982,1,1,3.3701,7.1921,57.9186150567,24.98296292857
1668,5.872260661666395,0.8791396946281339,0.04209712602898778,0.886,1,1,5.4447,7.1539,57.9254692697,21.66816142674
1669,11.231727661666397,0.20737140577273516,0.04209712602898778,0.217,1,1,,7.3367,57.92638266259,24.36131180743
1672,10.506741661666396,0.2982428683014009,0.04209712602898778,0.307,1,1,,7.3155,57.960866818,22.89551471851
1673,10.011447661666397,0.3603241914740867,0.04209712602898778,0.379,1,1,0.8689,7.3553,57.96320232012,23.29460660474
1674,5.709021661666396,0.899600457555579,0.04209712602898778,0.912,1,1,,9.2296,57.96472176891,18.631470861
1676,10.889000661666397,0.2503296197769531,0.04209712602898778,0.259,1,1,0.813,7.5209,57.96492519318,21.82121116296
1677,10.441839661666396,0.30637783871605095,0.04209712602898778,0.316,1,1,1.3131,7.4639,57.9663345193,21.82256456655
1678,6.941836661666397,0.7450765052623252,0.04209712602898778,0.736,1,1,,7.3484,57.9725395874,24.38676162475
1679,10.249691661666397,0.33046212418081566,0.04209712602898778,0.344,1,1,,6.8507,57.97466329458,24.04751222629
1681,11.195324661666398,0.21193424402124061,0.04209712602898778,0.222,1,1,,7.5227,57.97943739629,23.96153929784
1683,7.313642661666396,0.6984734605181053,0.04209712602898778,0.695,1,1,7.3022,7.4842,57.98900797238,23.33922129851
1685,10.827535661666396,0.25803378847031344,0.04209712602898778,0.267,1,1,,7.9066,57.98975312247,25.80851483367
1686,11.254795661666396,0.20448000801110777,0.04209712602898778,0.215,1,1,,7.3231,57.99317072138,23.97188582541
1687,10.216367661666396,0.33463903327603317,0.04209712602898778,0.348,1,1,0.3363,7.267,57.99514722975,24.6677241308
1689,10.411591661666396,0.3101691946850862,0.04209712602898778,0.321,1,1,0.9618,7.2549,57.99722936045,24.66617838451
1691,11.103847661666396,0.22340018788461835,0.04209712602898778,0.233,1,1,0.7129,7.5716,58.00692191346,25.02462381507
1692,11.469250661666397,0.17759971032731103,0.04209712602898778,0.194,1,1,0.5099,7.4098,58.01103965973,25.10400177716
1693,11.557537661666395,0.16653360862014965,0.04209712602898778,0.189,1,1,0.6317,7.3493,58.01500229554,25.02030871801
1695,11.474352661666398,0.17696021356210268,0.04209712602898778,0.194,1,1,,7.5142,58.01871116735,24.24417935611
1700,9.982309661666395,0.36397641741384335,0.04209712602898778,0.39,1,1,,5.1258,58.03400448525,22.15047425149
1701,9.830081661666396,0.38305703551931525,0.04209712602898778,0.405,1,1,,6.3961,58.04464683175,15.67138366595
1702,11.213159661666396,0.2096987628751239,0.04209712602898778,0.22,1,1,0.3228,7.7572,58.04683041912,20.87582287037
1703,11.186466661666397,0.21304452672336027,0.04209712602898778,0.223,1,1,,7.7243,58.047315363,24.93000934343
1704,9.844027661666397,0.38130901084514934,0.04209712602898778,0.403,1,1,,7.546,58.05086694633,26.36901020529
1705,9.456702661666396,0.4298572438095314,0.04209712602898778,0.45,1,1,,7.8865,58.05503782431,26.19580073198
1706,10.165124661666397,0.34106195227633984,0.04209712602898778,0.356,1,1,,7.3606,58.05557458367,26.14343846138
1708,11.136081661666395,0.21935990197130573,0.04209712602898778,0.229,1,1,0.5971,7.4085,58.07318033775,24.45532678087
1710,9.433114661666396,0.4328138196028932,0.04209712602898778,0.453,1,1,1.9941,6.6629,58.0769723289,22.01470944504
1712,9.110226661666395,0.4732853663540799,0.04209712602898778,0.493,1,1,,7.1802,58.08614920432,24.56530417495
1713,8.123783661666396,0.5969284685811083,0.04209712602898778,0.608,1,1,,7.8423,58.09386516372,23.64466308656
1714,9.800196661666396,0.3868028922085054,0.04209712602898778,0.408,1,1,1.8182,7.4197,58.10251694951,21.50610914348
1715,11.292864661666396,0.1997083493763152,0.04209712602898778,0.21,1,1,,7.2083,58.12729393761,19.67758093414
1716,10.035943661666396,0.35725380480992763,0.04209712602898778,0.375,1,1,,7.1881,58.12888489916,24.54417829297
1717,10.198675661666396,0.3368565904634231,0.04209712602898778,0.351,1,1,1.2294,7.3404,58.1308067638,25.25193444539
1718,11.076984661666398,0.22676725993553726,0.04209712602898778,0.236,1,1,,7.438,58.13899601979,23.85173807838
1720,9.558634661666396,0.4170808454811885,0.04209712602898778,0.438,1,1,1.7664,6.9756,58.14369484777,22.50195524648
